model,var,layer,kind,value
inceptionv2,0,block1,average,0.433832916268
inceptionv2,0,block1,100ms,0.446713940351
inceptionv2,0,block1,200ms,0.332545187257
inceptionv2,0,block2,average,0.432609329018
inceptionv2,0,block2,100ms,0.424680893382
inceptionv2,0,block2,200ms,0.328548958003
inceptionv2,0,block3,average,0.41852692043
inceptionv2,0,block3,100ms,0.438154488596
inceptionv2,0,block3,200ms,0.302282333431
inceptionv2,0,block4,average,0.470915636093
inceptionv2,0,block4,100ms,0.4841183476
inceptionv2,0,block4,200ms,0.346682829485
inceptionv2,0,block5,average,0.470544217525
inceptionv2,0,block5,100ms,0.48743764757
inceptionv2,0,block5,200ms,0.336135212585
inceptionv2,0,block6,average,0.45334068899
inceptionv2,0,block6,100ms,0.482353886855
inceptionv2,0,block6,200ms,0.337477514566
inceptionv2,0,block7,average,0.457658829531
inceptionv2,0,block7,100ms,0.449311876511
inceptionv2,0,block7,200ms,0.360787460073
inceptionv2,0,block8,average,0.43438109112
inceptionv2,0,block8,100ms,0.416681300554
inceptionv2,0,block8,200ms,0.358950857366
inceptionv2,0,block9,average,0.454466738845
inceptionv2,0,block9,100ms,0.446669840453
inceptionv2,0,block9,200ms,0.408164423666
inceptionv2,0,block10,average,0.425665253614
inceptionv2,0,block10,100ms,0.465541693269
inceptionv2,0,block10,200ms,0.340000992366
inceptionv2,0,block11,average,0.394851781506
inceptionv2,0,block11,100ms,0.378761503713
inceptionv2,0,block11,200ms,0.314174800729
inceptionv2,0,block12,average,0.350985345442
inceptionv2,0,block12,100ms,0.373396657195
inceptionv2,0,block12,200ms,0.275719115418
inceptionv2,3,block1,average,0.293301565926
inceptionv2,3,block1,100ms,0.310701776787
inceptionv2,3,block1,200ms,0.191077379847
inceptionv2,3,block2,average,0.324246969558
inceptionv2,3,block2,100ms,0.336028915962
inceptionv2,3,block2,200ms,0.193182766018
inceptionv2,3,block3,average,0.331694274689
inceptionv2,3,block3,100ms,0.328714709532
inceptionv2,3,block3,200ms,0.167901795228
inceptionv2,3,block4,average,0.435896553384
inceptionv2,3,block4,100ms,0.433667169269
inceptionv2,3,block4,200ms,0.247550963548
inceptionv2,3,block5,average,0.45653146264
inceptionv2,3,block5,100ms,0.445182446111
inceptionv2,3,block5,200ms,0.274926312712
inceptionv2,3,block6,average,0.437751477283
inceptionv2,3,block6,100ms,0.424119323726
inceptionv2,3,block6,200ms,0.286020264069
inceptionv2,3,block7,average,0.446988990986
inceptionv2,3,block7,100ms,0.413518494738
inceptionv2,3,block7,200ms,0.302282695919
inceptionv2,3,block8,average,0.446562172449
inceptionv2,3,block8,100ms,0.408512815851
inceptionv2,3,block8,200ms,0.305946811077
inceptionv2,3,block9,average,0.481687030078
inceptionv2,3,block9,100ms,0.440239685378
inceptionv2,3,block9,200ms,0.339743925855
inceptionv2,3,block10,average,0.417560043519
inceptionv2,3,block10,100ms,0.394850870201
inceptionv2,3,block10,200ms,0.305930640102
inceptionv2,3,block11,average,0.375315890499
inceptionv2,3,block11,100ms,0.33710822394
inceptionv2,3,block11,200ms,0.277086414721
inceptionv2,3,block12,average,0.277240654573
inceptionv2,3,block12,100ms,0.25245846948
inceptionv2,3,block12,200ms,0.234652996321
inceptionv2,6,block1,average,0.30353661153
inceptionv2,6,block1,100ms,0.315587811343
inceptionv2,6,block1,200ms,0.186536585768
inceptionv2,6,block2,average,0.315990861329
inceptionv2,6,block2,100ms,0.345196529539
inceptionv2,6,block2,200ms,0.188110749149
inceptionv2,6,block3,average,0.318158855137
inceptionv2,6,block3,100ms,0.341551956394
inceptionv2,6,block3,200ms,0.176175507737
inceptionv2,6,block4,average,0.401005862214
inceptionv2,6,block4,100ms,0.398560214523
inceptionv2,6,block4,200ms,0.229113793143
inceptionv2,6,block5,average,0.425653866264
inceptionv2,6,block5,100ms,0.43101200358
inceptionv2,6,block5,200ms,0.275539899837
inceptionv2,6,block6,average,0.428206491904
inceptionv2,6,block6,100ms,0.409801397372
inceptionv2,6,block6,200ms,0.292825131858
inceptionv2,6,block7,average,0.42502965324
inceptionv2,6,block7,100ms,0.401558128432
inceptionv2,6,block7,200ms,0.308237963401
inceptionv2,6,block8,average,0.422170399077
inceptionv2,6,block8,100ms,0.387148780735
inceptionv2,6,block8,200ms,0.310276517085
inceptionv2,6,block9,average,0.46724732483
inceptionv2,6,block9,100ms,0.423828438565
inceptionv2,6,block9,200ms,0.355736370226
inceptionv2,6,block10,average,0.439301401961
inceptionv2,6,block10,100ms,0.386140438925
inceptionv2,6,block10,200ms,0.333208114842
inceptionv2,6,block11,average,0.350190637785
inceptionv2,6,block11,100ms,0.305253259445
inceptionv2,6,block11,200ms,0.27068906461
inceptionv2,6,block12,average,0.252027509457
inceptionv2,6,block12,100ms,0.225855556201
inceptionv2,6,block12,200ms,0.210701296283
