model,var,layer,kind,value
inceptionv3,0,block1,average,0.400718728454
inceptionv3,0,block1,100ms,0.423736223804
inceptionv3,0,block1,200ms,0.31391321929
inceptionv3,0,block2,average,0.427943444526
inceptionv3,0,block2,100ms,0.438097501044
inceptionv3,0,block2,200ms,0.329226370414
inceptionv3,0,block3,average,0.427090112807
inceptionv3,0,block3,100ms,0.457413429125
inceptionv3,0,block3,200ms,0.349796206279
inceptionv3,0,block4,average,0.403162062229
inceptionv3,0,block4,100ms,0.428708444444
inceptionv3,0,block4,200ms,0.302530257165
inceptionv3,0,block5,average,0.457700546016
inceptionv3,0,block5,100ms,0.47112987122
inceptionv3,0,block5,200ms,0.345779942617
inceptionv3,0,block6,average,0.479311530389
inceptionv3,0,block6,100ms,0.496679112196
inceptionv3,0,block6,200ms,0.358890372468
inceptionv3,0,block7,average,0.476087627208
inceptionv3,0,block7,100ms,0.511982482527
inceptionv3,0,block7,200ms,0.34431920111
inceptionv3,0,block8,average,0.47333080072
inceptionv3,0,block8,100ms,0.478000092657
inceptionv3,0,block8,200ms,0.351755588106
inceptionv3,0,block9,average,0.470255107338
inceptionv3,0,block9,100ms,0.450910514468
inceptionv3,0,block9,200ms,0.364680330678
inceptionv3,0,block10,average,0.480342293867
inceptionv3,0,block10,100ms,0.465942356512
inceptionv3,0,block10,200ms,0.374234686081
inceptionv3,0,block11,average,0.474904726829
inceptionv3,0,block11,100ms,0.464778828132
inceptionv3,0,block11,200ms,0.388514403852
inceptionv3,0,block12,average,0.388502543999
inceptionv3,0,block12,100ms,0.390915938064
inceptionv3,0,block12,200ms,0.281856615741
inceptionv3,0,block13,average,0.372100011217
inceptionv3,0,block13,100ms,0.348730187848
inceptionv3,0,block13,200ms,0.272175497389
inceptionv3,3,block1,average,0.291572324815
inceptionv3,3,block1,100ms,0.294952961509
inceptionv3,3,block1,200ms,0.185918759091
inceptionv3,3,block2,average,0.330301567659
inceptionv3,3,block2,100ms,0.347007792493
inceptionv3,3,block2,200ms,0.197343530221
inceptionv3,3,block3,average,0.348563922162
inceptionv3,3,block3,100ms,0.353536379006
inceptionv3,3,block3,200ms,0.172413320234
inceptionv3,3,block4,average,0.310266286565
inceptionv3,3,block4,100ms,0.316505891408
inceptionv3,3,block4,200ms,0.173720036967
inceptionv3,3,block5,average,0.396398046071
inceptionv3,3,block5,100ms,0.372231539043
inceptionv3,3,block5,200ms,0.229007555242
inceptionv3,3,block6,average,0.462068489304
inceptionv3,3,block6,100ms,0.436485797988
inceptionv3,3,block6,200ms,0.289760537706
inceptionv3,3,block7,average,0.475071694012
inceptionv3,3,block7,100ms,0.434211892536
inceptionv3,3,block7,200ms,0.313287491731
inceptionv3,3,block8,average,0.463085426474
inceptionv3,3,block8,100ms,0.41352384359
inceptionv3,3,block8,200ms,0.326056022288
inceptionv3,3,block9,average,0.448116801728
inceptionv3,3,block9,100ms,0.407872296038
inceptionv3,3,block9,200ms,0.312650002106
inceptionv3,3,block10,average,0.484444565457
inceptionv3,3,block10,100ms,0.424499867607
inceptionv3,3,block10,200ms,0.341442738765
inceptionv3,3,block11,average,0.446000034859
inceptionv3,3,block11,100ms,0.380712031363
inceptionv3,3,block11,200ms,0.325290214005
inceptionv3,3,block12,average,0.367757037658
inceptionv3,3,block12,100ms,0.313722804249
inceptionv3,3,block12,200ms,0.248355264379
inceptionv3,3,block13,average,0.258304783655
inceptionv3,3,block13,100ms,0.229396564409
inceptionv3,3,block13,200ms,0.204862728436
inceptionv3,6,block1,average,0.30154195462
inceptionv3,6,block1,100ms,0.302482702753
inceptionv3,6,block1,200ms,0.192711272611
inceptionv3,6,block2,average,0.332765475918
inceptionv3,6,block2,100ms,0.333774086753
inceptionv3,6,block2,200ms,0.208793328373
inceptionv3,6,block3,average,0.344501728509
inceptionv3,6,block3,100ms,0.360996698954
inceptionv3,6,block3,200ms,0.206733004903
inceptionv3,6,block4,average,0.300694545922
inceptionv3,6,block4,100ms,0.306060858347
inceptionv3,6,block4,200ms,0.173753049274
inceptionv3,6,block5,average,0.36533441075
inceptionv3,6,block5,100ms,0.352420209216
inceptionv3,6,block5,200ms,0.22207239484
inceptionv3,6,block6,average,0.426344174657
inceptionv3,6,block6,100ms,0.41735563901
inceptionv3,6,block6,200ms,0.276763308677
inceptionv3,6,block7,average,0.431514501637
inceptionv3,6,block7,100ms,0.427220170836
inceptionv3,6,block7,200ms,0.297109423339
inceptionv3,6,block8,average,0.42039893665
inceptionv3,6,block8,100ms,0.396419262101
inceptionv3,6,block8,200ms,0.298057217349
inceptionv3,6,block9,average,0.411967783475
inceptionv3,6,block9,100ms,0.385836961081
inceptionv3,6,block9,200ms,0.325013203804
inceptionv3,6,block10,average,0.445857539375
inceptionv3,6,block10,100ms,0.394003339451
inceptionv3,6,block10,200ms,0.349479625826
inceptionv3,6,block11,average,0.448937241561
inceptionv3,6,block11,100ms,0.377146532697
inceptionv3,6,block11,200ms,0.328247476357
inceptionv3,6,block12,average,0.347710162185
inceptionv3,6,block12,100ms,0.26969665464
inceptionv3,6,block12,200ms,0.274461333412
inceptionv3,6,block13,average,0.230287122854
inceptionv3,6,block13,100ms,0.216174481289
inceptionv3,6,block13,200ms,0.198048825624
