model,var,layer,kind,value
resnet50,6,block14,200ms,0.0998183295154
resnet50,6,block15,average,0.180687965034
resnet50,6,block15,100ms,0.209471441604
resnet50,6,block15,200ms,0.099931453489
resnet50,6,block16,average,0.189112479884
resnet50,6,block16,100ms,0.227298352741
resnet50,6,block16,200ms,0.0914645491057
resnet50,6,block17,average,0.175116477268
resnet50,6,block17,100ms,0.209937058543
resnet50,6,block17,200ms,0.0895438181151
resnet50,6,pool,average,0.161254513779
resnet50,6,pool,100ms,0.207288346243
resnet50,6,pool,200ms,0.0780296489433
resnet50,6,fc1000,average,0.172204624419
resnet50,6,fc1000,100ms,0.203546482672
resnet50,6,fc1000,200ms,0.0882608734347
